benchmark,benchmark_type,framework,algorithm,time,size,query
gcc-61047,c,Perses,saprobdd,942,266,2619
gcc-61047,c,Perses,wprobdd,958,266,2617
gcc-61383,c,HDD,probdd,4369,487,26642
gcc-61383,c,HDD,saprobdd,3772,440,21649
gcc-61383,c,HDD,wprobdd,3981,510,25773
gcc-61383,c,Perses,probdd,3069,282,5006
gcc-61383,c,Perses,saprobdd,3100,274,4351
gcc-61383,c,Perses,wprobdd,3087,274,4350
gcc-61917,c,HDD,probdd,3643,310,14428
gcc-61917,c,HDD,saprobdd,2774,295,12593
gcc-61917,c,HDD,wprobdd,2899,300,13227
gcc-61917,c,Perses,probdd,2486,147,4507
gcc-61917,c,Perses,saprobdd,1827,142,4232
gcc-61917,c,Perses,wprobdd,1803,142,4230
gcc-64990,c,HDD,probdd,11301,535,19160
gcc-64990,c,HDD,saprobdd,10558,407,16555
gcc-64990,c,HDD,wprobdd,10599,467,13983
gcc-64990,c,Perses,probdd,4596,239,4890
gcc-64990,c,Perses,saprobdd,4461,239,4837
gcc-64990,c,Perses,wprobdd,4469,239,4836
gcc-65383,c,HDD,probdd,2387,278,14151
gcc-65383,c,HDD,saprobdd,1823,315,10806
gcc-65383,c,HDD,wprobdd,1972,275,11592
gcc-65383,c,Perses,probdd,1352,153,3125
gcc-65383,c,Perses,saprobdd,1244,153,3103
gcc-65383,c,Perses,wprobdd,1295,153,3107
gcc-66186,c,HDD,probdd,8645,587,23857
gcc-66186,c,HDD,saprobdd,5166,461,13564
gcc-66186,c,HDD,wprobdd,7552,503,24122
gcc-66186,c,Perses,probdd,3091,327,4185
gcc-66186,c,Perses,saprobdd,2918,327,4147
gcc-66186,c,Perses,wprobdd,3026,327,4148
gcc-66375,c,HDD,probdd,11787,837,26619
gcc-66375,c,HDD,saprobdd,10486,827,24130
gcc-66375,c,HDD,wprobdd,12762,813,33444
gcc-66375,c,Perses,probdd,3914,440,5038
gcc-66375,c,Perses,saprobdd,3474,440,4947
gcc-66375,c,Perses,wprobdd,3501,440,4949
gcc-66412,c,HDD,probdd,4171,718,34753
gcc-66412,c,HDD,saprobdd,2817,513,18050
gcc-66412,c,HDD,wprobdd,2956,525,18301
gcc-66412,c,Perses,probdd,2299,346,5888
gcc-66412,c,Perses,saprobdd,2201,350,5806
gcc-66412,c,Perses,wprobdd,2145,350,5805
gcc-66691,c,HDD,probdd,4598,947,27672
gcc-66691,c,HDD,saprobdd,3346,566,20255
gcc-66691,c,HDD,wprobdd,6212,1039,30987
gcc-66691,c,Perses,probdd,3679,680,7462
gcc-66691,c,Perses,saprobdd,3566,603,6935
gcc-66691,c,Perses,wprobdd,3572,603,6934
gcc-70127,c,HDD,probdd,18447,666,37403
gcc-70127,c,HDD,saprobdd,14268,675,19439
gcc-70127,c,HDD,wprobdd,14321,640,21292
gcc-70127,c,Perses,probdd,4245,301,3959
gcc-70127,c,Perses,saprobdd,3829,301,3792
gcc-70127,c,Perses,wprobdd,3880,301,3794
gcc-70586,c,HDD,probdd,18312,948,51140
gcc-70586,c,HDD,saprobdd,21249,627,59019
gcc-70586,c,HDD,wprobdd,17414,718,44401
gcc-70586,c,Perses,probdd,7105,201,5640
gcc-70586,c,Perses,saprobdd,6878,197,6276
gcc-70586,c,Perses,wprobdd,7045,197,6272
gcc-71626,c,HDD,probdd,213,53,3612
gcc-71626,c,HDD,saprobdd,138,53,3121
gcc-71626,c,HDD,wprobdd,174,53,3143
gcc-71626,c,Perses,probdd,61,51,747
gcc-71626,c,Perses,saprobdd,62,51,763
gcc-71626,c,Perses,wprobdd,61,51,761
xml-1,xml,HDD,probdd,664,35,200
xml-1,xml,HDD,saprobdd,412,24,138
xml-1,xml,HDD,wprobdd,383,24,137
xml-1,xml,Perses,probdd,308,16,54
xml-1,xml,Perses,saprobdd,289,16,54
xml-1,xml,Perses,wprobdd,296,16,54
xml-10,xml,HDD,probdd,3111,102,879
xml-10,xml,HDD,saprobdd,3003,102,893
xml-10,xml,HDD,wprobdd,2974,102,889
xml-10,xml,Perses,probdd,1721,37,256
xml-10,xml,Perses,saprobdd,1709,37,261
xml-10,xml,Perses,wprobdd,1732,37,261
xml-11,xml,HDD,probdd,683,37,228
xml-11,xml,HDD,saprobdd,407,24,141
xml-11,xml,HDD,wprobdd,382,24,139
xml-11,xml,Perses,probdd,453,16,85
xml-11,xml,Perses,saprobdd,446,16,84
xml-11,xml,Perses,wprobdd,448,16,85
xml-12,xml,HDD,probdd,1172,93,541
xml-12,xml,HDD,saprobdd,1150,87,513
xml-12,xml,HDD,wprobdd,1083,87,511
xml-12,xml,Perses,probdd,472,16,131
xml-12,xml,Perses,saprobdd,473,16,131
xml-12,xml,Perses,wprobdd,454,16,132
xml-13,xml,HDD,probdd,1080,78,454
xml-13,xml,HDD,saprobdd,1117,78,466
xml-13,xml,HDD,wprobdd,1082,78,460
xml-13,xml,Perses,probdd,489,25,131
xml-13,xml,Perses,saprobdd,505,25,134
xml-13,xml,Perses,wprobdd,501,25,134
xml-14,xml,HDD,probdd,3074,157,1341
xml-14,xml,HDD,saprobdd,3289,153,1330
xml-14,xml,HDD,wprobdd,3239,153,1331
xml-14,xml,Perses,probdd,1485,43,403
xml-14,xml,Perses,saprobdd,1505,43,405
xml-14,xml,Perses,wprobdd,1488,43,405
xml-15,xml,HDD,probdd,1154,62,361
xml-15,xml,HDD,saprobdd,905,51,304
xml-15,xml,HDD,wprobdd,950,51,305
xml-15,xml,Perses,probdd,516,16,110
xml-15,xml,Perses,saprobdd,529,16,110
xml-15,xml,Perses,wprobdd,558,16,111
xml-16,xml,HDD,probdd,951,38,310
xml-16,xml,HDD,saprobdd,470,24,151
xml-16,xml,HDD,wprobdd,428,24,148
xml-16,xml,Perses,probdd,485,16,99
xml-16,xml,Perses,saprobdd,482,16,100
xml-16,xml,Perses,wprobdd,501,16,100
xml-17,xml,HDD,probdd,1077,44,344
xml-17,xml,HDD,saprobdd,207,15,88
xml-17,xml,HDD,wprobdd,193,15,87
xml-17,xml,Perses,probdd,95,15,23
xml-17,xml,Perses,saprobdd,113,15,24
xml-17,xml,Perses,wprobdd,105,15,24
xml-18,xml,HDD,probdd,792,39,230
xml-18,xml,HDD,saprobdd,771,39,232
xml-18,xml,HDD,wprobdd,718,39,231
xml-18,xml,Perses,probdd,481,16,92
xml-18,xml,Perses,saprobdd,488,16,90
xml-18,xml,Perses,wprobdd,466,16,90
xml-19,xml,HDD,probdd,1150,56,531
xml-19,xml,HDD,saprobdd,1218,54,507
xml-19,xml,HDD,wprobdd,1185,54,508
xml-19,xml,Perses,probdd,654,36,166
xml-19,xml,Perses,saprobdd,679,36,166
xml-19,xml,Perses,wprobdd,618,36,166
xml-2,xml,HDD,probdd,348,22,135
xml-2,xml,HDD,saprobdd,165,15,86
xml-2,xml,HDD,wprobdd,164,15,84
xml-2,xml,Perses,probdd,88,15,23
xml-2,xml,Perses,saprobdd,74,15,20
xml-2,xml,Perses,wprobdd,81,15,21
xml-20,xml,HDD,probdd,2180,99,585
xml-20,xml,HDD,saprobdd,2215,99,584
xml-20,xml,HDD,wprobdd,2166,99,591
xml-20,xml,Perses,probdd,2546,64,385
xml-20,xml,Perses,saprobdd,2415,64,380
xml-20,xml,Perses,wprobdd,2491,64,380
xml-21,xml,HDD,probdd,2879,92,813
xml-21,xml,HDD,saprobdd,2594,90,799
xml-21,xml,HDD,wprobdd,2661,90,808
xml-21,xml,Perses,probdd,1675,46,254
xml-21,xml,Perses,saprobdd,1786,46,265
xml-21,xml,Perses,wprobdd,1792,46,265
xml-22,xml,HDD,probdd,1089,61,507
xml-22,xml,HDD,saprobdd,1219,61,508
xml-22,xml,HDD,wprobdd,1193,61,510
xml-22,xml,Perses,probdd,343,24,94
xml-22,xml,Perses,saprobdd,366,24,93
xml-22,xml,Perses,wprobdd,327,24,93
xml-23,xml,HDD,probdd,3650,112,1027
xml-23,xml,HDD,saprobdd,5202,165,1434
xml-23,xml,HDD,wprobdd,5064,165,1434
xml-23,xml,Perses,probdd,2253,48,340
xml-23,xml,Perses,saprobdd,2604,51,389
xml-23,xml,Perses,wprobdd,2702,51,389
xml-24,xml,HDD,probdd,2084,97,601
xml-24,xml,HDD,saprobdd,2005,96,585
xml-24,xml,HDD,wprobdd,2002,96,584
xml-24,xml,Perses,probdd,2371,70,398
xml-24,xml,Perses,saprobdd,2315,70,397
xml-24,xml,Perses,wprobdd,2418,70,397
xml-25,xml,HDD,probdd,3917,135,1125
xml-25,xml,HDD,saprobdd,4138,132,1179
xml-25,xml,HDD,wprobdd,2856,135,837
xml-25,xml,Perses,probdd,2474,55,370
xml-25,xml,Perses,saprobdd,2472,55,371
xml-25,xml,Perses,wprobdd,2516,55,372
xml-26,xml,HDD,probdd,4687,131,1239
xml-26,xml,HDD,saprobdd,4026,126,1121
xml-26,xml,HDD,wprobdd,4321,138,1226
xml-26,xml,Perses,probdd,3150,64,437
xml-26,xml,Perses,saprobdd,3016,64,439
xml-26,xml,Perses,wprobdd,3200,64,440
xml-27,xml,HDD,probdd,6456,188,1720
xml-27,xml,HDD,saprobdd,5802,186,1597
xml-27,xml,HDD,wprobdd,5816,186,1630
xml-27,xml,Perses,probdd,5057,102,731
xml-27,xml,Perses,saprobdd,4862,102,725
xml-27,xml,Perses,wprobdd,5018,102,724
xml-28,xml,HDD,probdd,5233,159,1537
xml-28,xml,HDD,saprobdd,4946,159,1433
xml-28,xml,HDD,wprobdd,5001,159,1477
xml-28,xml,Perses,probdd,4229,97,637
xml-28,xml,Perses,saprobdd,4152,97,638
xml-28,xml,Perses,wprobdd,4298,97,638
xml-29,xml,HDD,probdd,4741,142,1323
xml-29,xml,HDD,saprobdd,4310,138,1231
xml-29,xml,HDD,wprobdd,4281,138,1239
xml-29,xml,Perses,probdd,2175,48,338
xml-29,xml,Perses,saprobdd,2149,48,341
xml-29,xml,Perses,wprobdd,2238,48,342
xml-3,xml,HDD,probdd,298,19,113
xml-3,xml,HDD,saprobdd,216,15,88
xml-3,xml,HDD,wprobdd,202,15,86
xml-3,xml,Perses,probdd,104,15,22
xml-3,xml,Perses,saprobdd,109,15,23
xml-3,xml,Perses,wprobdd,107,15,23
