benchmark,benchmark_type,framework,algorithm,time,size,query
gcc-61047,c,HDD,ddmin,8360,495,81936
gcc-61047,c,Perses,SAddmin,1094,266,3275
gcc-61047,c,Perses,Wddmin,997,266,3295
gcc-61047,c,Perses,ddmin,1274,266,3248
gcc-61383,c,HDD,SAddmin,5847,441,50429
gcc-61383,c,HDD,Wddmin,6982,421,58988
gcc-61383,c,HDD,ddmin,13997,579,107994
gcc-61383,c,Perses,SAddmin,3440,274,5461
gcc-61383,c,Perses,Wddmin,3149,274,5604
gcc-61383,c,Perses,ddmin,3095,271,6354
gcc-61917,c,HDD,SAddmin,6471,311,40892
gcc-61917,c,HDD,Wddmin,7966,311,48138
gcc-61917,c,HDD,ddmin,14933,293,93218
gcc-61917,c,Perses,SAddmin,1765,142,5327
gcc-61917,c,Perses,Wddmin,1779,142,5470
gcc-61917,c,Perses,ddmin,2622,142,6352
gcc-64990,c,HDD,SAddmin,19599,386,50239
gcc-64990,c,HDD,Wddmin,23447,378,61845
gcc-64990,c,HDD,ddmin,35836,325,87929
gcc-64990,c,Perses,SAddmin,4745,239,5859
gcc-64990,c,Perses,Wddmin,4911,239,6183
gcc-64990,c,Perses,ddmin,4719,239,6556
gcc-65383,c,HDD,SAddmin,5588,240,40804
gcc-65383,c,HDD,Wddmin,6211,217,52651
gcc-65383,c,HDD,ddmin,12405,246,100767
gcc-65383,c,Perses,SAddmin,1345,153,3961
gcc-65383,c,Perses,Wddmin,1337,153,3992
gcc-65383,c,Perses,ddmin,1411,153,4411
gcc-66186,c,HDD,SAddmin,7497,559,44658
gcc-66186,c,HDD,Wddmin,7656,508,45864
gcc-66186,c,HDD,ddmin,14244,605,88978
gcc-66186,c,Perses,SAddmin,3059,327,5044
gcc-66186,c,Perses,Wddmin,2932,327,5083
gcc-66186,c,Perses,ddmin,2918,327,5319
gcc-66375,c,HDD,SAddmin,21498,865,75957
gcc-66375,c,HDD,Wddmin,21762,740,83372
gcc-66375,c,HDD,ddmin,58573,1053,169003
gcc-66375,c,Perses,SAddmin,4098,440,6241
gcc-66375,c,Perses,Wddmin,3891,440,6386
gcc-66375,c,Perses,ddmin,3775,440,6717
gcc-66412,c,HDD,SAddmin,7115,523,55164
gcc-66412,c,HDD,Wddmin,8005,442,64366
gcc-66412,c,HDD,ddmin,19806,491,126092
gcc-66412,c,Perses,SAddmin,2874,342,7104
gcc-66412,c,Perses,Wddmin,2311,350,7147
gcc-66412,c,Perses,ddmin,2423,350,7775
gcc-66691,c,HDD,SAddmin,9060,1056,68695
gcc-66691,c,HDD,Wddmin,10746,1022,79773
gcc-66691,c,HDD,ddmin,16094,1076,121346
gcc-66691,c,Perses,SAddmin,4008,746,9022
gcc-66691,c,Perses,Wddmin,3655,602,8007
gcc-66691,c,Perses,ddmin,3774,746,9465
gcc-70127,c,HDD,SAddmin,28410,538,58857
gcc-70127,c,HDD,Wddmin,34324,576,67060
gcc-70127,c,HDD,ddmin,85080,617,145452
gcc-70127,c,Perses,SAddmin,4633,301,5086
gcc-70127,c,Perses,Wddmin,4546,301,5147
gcc-70127,c,Perses,ddmin,4774,301,5545
gcc-70586,c,HDD,SAddmin,39701,833,85526
gcc-70586,c,HDD,Wddmin,49882,793,94138
gcc-70586,c,HDD,ddmin,82061,792,127760
gcc-70586,c,Perses,SAddmin,9359,367,7443
gcc-70586,c,Perses,Wddmin,8500,367,7539
gcc-70586,c,Perses,ddmin,8374,197,7507
gcc-71626,c,HDD,SAddmin,332,53,9305
gcc-71626,c,HDD,Wddmin,480,53,17401
gcc-71626,c,HDD,ddmin,2370,53,73801
gcc-71626,c,Perses,SAddmin,63,51,1010
gcc-71626,c,Perses,Wddmin,64,51,1016
gcc-71626,c,Perses,ddmin,84,51,1007
xml-1,xml,HDD,SAddmin,542,24,206
xml-1,xml,HDD,Wddmin,509,24,206
xml-1,xml,HDD,ddmin,768,33,294
xml-1,xml,Perses,SAddmin,289,16,53
xml-1,xml,Perses,Wddmin,267,16,54
xml-1,xml,Perses,ddmin,269,16,54
xml-10,xml,HDD,SAddmin,3251,102,1237
xml-10,xml,HDD,Wddmin,2970,102,1237
xml-10,xml,HDD,ddmin,3056,102,1245
xml-10,xml,Perses,SAddmin,1573,37,252
xml-10,xml,Perses,Wddmin,1424,37,253
xml-10,xml,Perses,ddmin,1442,37,251
xml-11,xml,HDD,SAddmin,524,24,198
xml-11,xml,HDD,Wddmin,468,24,198
xml-11,xml,HDD,ddmin,1774,90,727
xml-11,xml,Perses,SAddmin,470,16,86
xml-11,xml,Perses,Wddmin,421,16,86
xml-11,xml,Perses,ddmin,421,16,86
xml-12,xml,HDD,SAddmin,1373,87,667
xml-12,xml,HDD,Wddmin,1302,87,667
xml-12,xml,HDD,ddmin,1493,96,762
xml-12,xml,Perses,SAddmin,481,16,127
xml-12,xml,Perses,Wddmin,452,16,126
xml-12,xml,Perses,ddmin,487,16,129
xml-13,xml,HDD,SAddmin,1338,78,623
xml-13,xml,HDD,Wddmin,1276,78,620
xml-13,xml,HDD,ddmin,1300,78,630
xml-13,xml,Perses,SAddmin,513,25,127
xml-13,xml,Perses,Wddmin,485,25,128
xml-13,xml,Perses,ddmin,495,25,130
xml-14,xml,HDD,SAddmin,3993,153,1831
xml-14,xml,HDD,Wddmin,3780,153,1828
xml-14,xml,HDD,ddmin,3796,153,1837
xml-14,xml,Perses,SAddmin,1485,43,394
xml-14,xml,Perses,Wddmin,1484,43,397
xml-14,xml,Perses,ddmin,1471,43,396
xml-15,xml,HDD,SAddmin,1033,51,400
xml-15,xml,HDD,Wddmin,927,51,400
xml-15,xml,HDD,ddmin,2093,108,878
xml-15,xml,Perses,SAddmin,490,16,108
xml-15,xml,Perses,Wddmin,474,16,109
xml-15,xml,Perses,ddmin,479,16,106
xml-16,xml,HDD,SAddmin,513,24,224
xml-16,xml,HDD,Wddmin,479,24,224
xml-16,xml,HDD,ddmin,1628,60,730
xml-16,xml,Perses,SAddmin,443,16,99
xml-16,xml,Perses,Wddmin,400,16,99
xml-16,xml,Perses,ddmin,390,16,98
xml-17,xml,HDD,SAddmin,282,15,146
xml-17,xml,HDD,Wddmin,277,15,146
xml-17,xml,HDD,ddmin,2263,87,1016
xml-17,xml,Perses,SAddmin,102,15,26
xml-17,xml,Perses,Wddmin,93,15,26
xml-17,xml,Perses,ddmin,91,15,25
xml-18,xml,HDD,SAddmin,770,39,307
xml-18,xml,HDD,Wddmin,696,39,307
xml-18,xml,HDD,ddmin,732,39,313
xml-18,xml,Perses,SAddmin,428,16,93
xml-18,xml,Perses,Wddmin,384,16,92
xml-18,xml,Perses,ddmin,395,16,94
xml-19,xml,HDD,SAddmin,1662,54,748
xml-19,xml,HDD,Wddmin,1553,54,745
xml-19,xml,HDD,ddmin,1481,54,739
xml-19,xml,Perses,SAddmin,650,36,166
xml-19,xml,Perses,Wddmin,606,36,166
xml-19,xml,Perses,ddmin,615,36,167
xml-2,xml,HDD,SAddmin,247,15,139
xml-2,xml,HDD,Wddmin,238,15,139
xml-2,xml,HDD,ddmin,1826,60,740
xml-2,xml,Perses,SAddmin,71,15,18
xml-2,xml,Perses,Wddmin,67,15,19
xml-2,xml,Perses,ddmin,66,15,18
xml-20,xml,HDD,SAddmin,2481,99,848
xml-20,xml,HDD,Wddmin,2379,99,845
xml-20,xml,HDD,ddmin,2415,99,860
xml-20,xml,Perses,SAddmin,2163,64,373
xml-20,xml,Perses,Wddmin,2132,64,376
xml-20,xml,Perses,ddmin,2098,64,375
xml-21,xml,HDD,SAddmin,3343,90,1168
xml-21,xml,HDD,Wddmin,3207,90,1168
xml-21,xml,HDD,ddmin,3348,93,1249
