Subject,Query,Time,Token_remaining
c_benchmarks/clang-18596,16967,7084,525
c_benchmarks/clang-19595,11532,6098,329
c_benchmarks/clang-20680,17424,11127,340
c_benchmarks/clang-21467,15902,7728,434
c_benchmarks/clang-21582,61333,8803,1250
c_benchmarks/clang-22337,13574,2696,345
c_benchmarks/clang-22382,10439,1048,210
c_benchmarks/clang-22704,11542,12203,103
c_benchmarks/clang-23309,65635,7667,1127
c_benchmarks/clang-23353,11668,2540,191
c_benchmarks/clang-25900,24780,2512,500
c_benchmarks/clang-26350,43871,17124,741
c_benchmarks/clang-26760,10975,4310,272
c_benchmarks/clang-27137,49968,27963,555
c_benchmarks/clang-27747,12733,1446,231
c_benchmarks/clang-31259,20823,5030,615
c_benchmarks/gcc-58731,13073,6462,408
c_benchmarks/gcc-59903,23408,4304,749
c_benchmarks/gcc-60116,29673,4327,1209
c_benchmarks/gcc-60452,33434,3946,845
c_benchmarks/gcc-61047,16060,1946,560
c_benchmarks/gcc-61383,33292,5046,503
c_benchmarks/gcc-61917,14391,3670,383
c_benchmarks/gcc-64990,14755,11413,411
c_benchmarks/gcc-65383,11289,2275,303
c_benchmarks/gcc-66186,18012,7153,598
c_benchmarks/gcc-66375,33185,14163,816
c_benchmarks/gcc-66412,28906,3802,573
c_benchmarks/gcc-66691,26263,4470,997
c_benchmarks/gcc-70127,34272,17758,696
c_benchmarks/gcc-70586,33856,16335,935
c_benchmarks/gcc-71626,3716,202,53
