Subject,Query,Time,Token_remaining
xml_benchmarks/xml-1,54,279,16
xml_benchmarks/xml-10,261,1678,37
xml_benchmarks/xml-11,85,440,16
xml_benchmarks/xml-12,132,440,16
xml_benchmarks/xml-13,134,501,25
xml_benchmarks/xml-14,405,1483,43
xml_benchmarks/xml-15,111,565,16
xml_benchmarks/xml-16,100,498,16
xml_benchmarks/xml-17,24,104,15
xml_benchmarks/xml-18,91,467,16
xml_benchmarks/xml-19,167,618,36
xml_benchmarks/xml-2,21,83,15
xml_benchmarks/xml-20,378,2395,64
xml_benchmarks/xml-21,266,1790,46
xml_benchmarks/xml-22,92,324,24
xml_benchmarks/xml-23,390,2664,51
xml_benchmarks/xml-24,395,2374,70
xml_benchmarks/xml-25,373,2476,55
xml_benchmarks/xml-26,440,3144,64
xml_benchmarks/xml-27,724,4925,102
xml_benchmarks/xml-28,637,4233,97
xml_benchmarks/xml-29,340,2235,48
xml_benchmarks/xml-3,23,105,15
xml_benchmarks/xml-30,710,4770,78
xml_benchmarks/xml-4,210,1329,13
xml_benchmarks/xml-5,19,86,15
xml_benchmarks/xml-6,113,777,30
xml_benchmarks/xml-7,167,622,33
xml_benchmarks/xml-8,85,413,16
xml_benchmarks/xml-9,292,1833,37
