Subject,Query,Time,Token_remaining
xml_benchmarks/xml-1,131,380,24
xml_benchmarks/xml-10,882,3129,102
xml_benchmarks/xml-11,135,404,24
xml_benchmarks/xml-12,498,1091,87
xml_benchmarks/xml-13,456,1087,78
xml_benchmarks/xml-14,1308,2983,153
xml_benchmarks/xml-15,294,944,51
xml_benchmarks/xml-16,515,1617,60
xml_benchmarks/xml-17,723,2364,87
xml_benchmarks/xml-18,228,798,39
xml_benchmarks/xml-19,505,1094,54
xml_benchmarks/xml-2,206,601,33
xml_benchmarks/xml-20,585,2183,99
xml_benchmarks/xml-21,789,2926,90
xml_benchmarks/xml-22,515,1128,61
xml_benchmarks/xml-23,1457,5383,165
xml_benchmarks/xml-24,598,2128,96
xml_benchmarks/xml-25,894,3226,135
xml_benchmarks/xml-26,1286,4870,138
xml_benchmarks/xml-27,1623,6260,177
xml_benchmarks/xml-28,1530,5333,159
xml_benchmarks/xml-29,1272,4649,138
xml_benchmarks/xml-3,83,183,15
xml_benchmarks/xml-30,1370,5038,147
xml_benchmarks/xml-4,683,2407,78
xml_benchmarks/xml-5,84,192,15
xml_benchmarks/xml-6,447,1506,51
xml_benchmarks/xml-7,626,1417,69
xml_benchmarks/xml-8,139,404,24
xml_benchmarks/xml-9,580,2053,63
