Subject,Query,Time,Token_remaining
xml_benchmarks/xml-1,54,309,16
xml_benchmarks/xml-10,260,1761,37
xml_benchmarks/xml-11,85,452,16
xml_benchmarks/xml-12,133,454,16
xml_benchmarks/xml-13,134,501,25
xml_benchmarks/xml-14,406,1493,43
xml_benchmarks/xml-15,111,561,16
xml_benchmarks/xml-16,99,503,16
xml_benchmarks/xml-17,24,107,15
xml_benchmarks/xml-18,91,465,16
xml_benchmarks/xml-19,166,613,36
xml_benchmarks/xml-2,21,82,15
xml_benchmarks/xml-20,381,2545,64
xml_benchmarks/xml-21,263,1796,46
xml_benchmarks/xml-22,94,327,24
xml_benchmarks/xml-23,388,2726,51
xml_benchmarks/xml-24,398,2420,70
xml_benchmarks/xml-25,371,2527,55
xml_benchmarks/xml-26,441,3220,64
xml_benchmarks/xml-27,724,5044,102
xml_benchmarks/xml-28,640,4302,97
xml_benchmarks/xml-29,343,2239,48
xml_benchmarks/xml-3,23,111,15
xml_benchmarks/xml-30,710,4906,78
xml_benchmarks/xml-4,211,1335,13
xml_benchmarks/xml-5,19,88,15
xml_benchmarks/xml-6,113,782,30
xml_benchmarks/xml-7,167,632,33
xml_benchmarks/xml-8,84,419,16
xml_benchmarks/xml-9,293,1983,37
