Subject,Query,Time,Token_remaining
xml_benchmarks/xml-1,54,288,16
xml_benchmarks/xml-10,261,1708,37
xml_benchmarks/xml-11,85,442,16
xml_benchmarks/xml-12,132,464,16
xml_benchmarks/xml-13,134,500,25
xml_benchmarks/xml-14,403,1522,43
xml_benchmarks/xml-15,111,543,16
xml_benchmarks/xml-16,100,483,16
xml_benchmarks/xml-17,24,112,15
xml_benchmarks/xml-18,90,489,16
xml_benchmarks/xml-19,164,645,36
xml_benchmarks/xml-2,20,74,15
xml_benchmarks/xml-20,380,2445,64
xml_benchmarks/xml-21,265,1789,46
xml_benchmarks/xml-22,94,364,24
xml_benchmarks/xml-23,389,2626,51
xml_benchmarks/xml-24,398,2310,70
xml_benchmarks/xml-25,372,2478,55
xml_benchmarks/xml-26,439,3030,64
xml_benchmarks/xml-27,724,4871,102
xml_benchmarks/xml-28,636,4182,97
xml_benchmarks/xml-29,339,2163,48
xml_benchmarks/xml-3,23,108,15
xml_benchmarks/xml-30,710,4797,78
xml_benchmarks/xml-4,210,1314,13
xml_benchmarks/xml-5,19,89,15
xml_benchmarks/xml-6,111,762,30
xml_benchmarks/xml-7,168,647,33
xml_benchmarks/xml-8,85,373,16
xml_benchmarks/xml-9,293,1882,37
