Subject,Query,Time,Token_remaining
xml_benchmarks/xml-1,54,309,16
xml_benchmarks/xml-10,255,1717,37
xml_benchmarks/xml-11,85,456,16
xml_benchmarks/xml-12,134,482,16
xml_benchmarks/xml-13,131,492,25
xml_benchmarks/xml-14,403,1482,43
xml_benchmarks/xml-15,109,522,16
xml_benchmarks/xml-16,96,474,16
xml_benchmarks/xml-17,19,78,15
xml_benchmarks/xml-18,94,489,16
xml_benchmarks/xml-19,168,665,36
xml_benchmarks/xml-2,23,85,15
xml_benchmarks/xml-20,381,2517,64
xml_benchmarks/xml-21,257,1677,46
xml_benchmarks/xml-22,93,332,24
xml_benchmarks/xml-23,386,2568,51
xml_benchmarks/xml-24,394,2357,70
xml_benchmarks/xml-25,368,2454,55
xml_benchmarks/xml-26,439,3178,64
xml_benchmarks/xml-27,731,5037,102
xml_benchmarks/xml-28,643,4292,97
xml_benchmarks/xml-29,336,2180,48
xml_benchmarks/xml-3,21,95,15
xml_benchmarks/xml-30,713,4989,78
xml_benchmarks/xml-4,204,1257,13
xml_benchmarks/xml-5,19,89,15
xml_benchmarks/xml-6,114,809,30
xml_benchmarks/xml-7,165,662,33
xml_benchmarks/xml-8,85,380,16
xml_benchmarks/xml-9,287,1959,37
