Subject,Query,Time,Token_remaining
c_benchmarks/clang-18596,19261,6465,462
c_benchmarks/clang-19595,11695,6052,276
c_benchmarks/clang-20680,17327,8188,362
c_benchmarks/clang-21467,18010,6948,334
c_benchmarks/clang-21582,31920,6683,1106
c_benchmarks/clang-22337,13340,2650,297
c_benchmarks/clang-22382,11862,1006,198
c_benchmarks/clang-22704,9557,6022,103
c_benchmarks/clang-23309,31500,4400,1109
c_benchmarks/clang-23353,10831,2158,134
c_benchmarks/clang-25900,21110,2119,467
c_benchmarks/clang-26350,24631,16288,274
c_benchmarks/clang-26760,12461,3843,252
c_benchmarks/clang-27137,46304,30956,592
c_benchmarks/clang-27747,14701,1466,298
c_benchmarks/clang-31259,17523,4842,548
c_benchmarks/gcc-58731,12179,5296,366
c_benchmarks/gcc-59903,37725,6536,801
c_benchmarks/gcc-60116,32255,5277,1114
c_benchmarks/gcc-60452,18050,2813,513
c_benchmarks/gcc-61047,15653,2088,538
c_benchmarks/gcc-61383,21649,3776,440
c_benchmarks/gcc-61917,12593,2726,295
c_benchmarks/gcc-64990,16555,10631,407
c_benchmarks/gcc-65383,10806,1827,315
c_benchmarks/gcc-66186,13564,5200,461
c_benchmarks/gcc-66375,24130,10493,827
c_benchmarks/gcc-66412,18050,2806,513
c_benchmarks/gcc-66691,20255,3321,566
c_benchmarks/gcc-70127,19439,14272,675
c_benchmarks/gcc-70586,27942,14859,708
c_benchmarks/gcc-71626,3121,143,53
