Subject,Query,Time,Token_remaining
xml_benchmarks/xml-1,137,379,24
xml_benchmarks/xml-10,889,3027,102
xml_benchmarks/xml-11,139,386,24
xml_benchmarks/xml-12,511,1077,87
xml_benchmarks/xml-13,460,1079,78
xml_benchmarks/xml-14,1331,3136,153
xml_benchmarks/xml-15,305,940,51
xml_benchmarks/xml-16,148,425,24
xml_benchmarks/xml-17,87,193,15
xml_benchmarks/xml-18,231,718,39
xml_benchmarks/xml-19,508,1113,54
xml_benchmarks/xml-2,84,165,15
xml_benchmarks/xml-20,591,2175,99
xml_benchmarks/xml-21,808,2748,90
xml_benchmarks/xml-22,510,1180,61
xml_benchmarks/xml-23,1434,5008,165
xml_benchmarks/xml-24,584,2003,96
xml_benchmarks/xml-25,837,2806,135
xml_benchmarks/xml-26,1226,4254,138
xml_benchmarks/xml-27,1630,5753,186
xml_benchmarks/xml-28,1477,4916,159
xml_benchmarks/xml-29,1239,4179,138
xml_benchmarks/xml-3,86,201,15
xml_benchmarks/xml-30,1351,4680,147
xml_benchmarks/xml-4,708,2360,78
xml_benchmarks/xml-5,84,188,15
xml_benchmarks/xml-6,279,812,30
xml_benchmarks/xml-7,629,1508,69
xml_benchmarks/xml-8,140,370,24
xml_benchmarks/xml-9,827,2122,90
